id,order,parent_id,path,objectives_id,areas_id
1,1,,viso,,7
2,2,,corpo,,1
3,3,,epilazione,,8
4,4,,massaggio,,3
5,1,1.0,viso/anti-fotoinvecchiamento-rinnovo,16.0,7
6,2,1.0,viso/detersione-skin-reset,17.0,7
7,3,1.0,viso/diagnosi-piano,18.0,7
8,4,1.0,viso/glow-hydro-dermo,19.0,7
9,5,1.0,viso/lifting-tono,20.0,7
10,6,1.0,viso/protocolli-professionali,21.0,7
11,1,2.0,corpo/lift-compattezza,1.0,1
12,2,2.0,corpo/rimodellamento-drenaggio-meccanico,2.0,1
13,1,3.0,epilazione/ceretta-donna-corpo,3.0,8
14,2,3.0,epilazione/ceretta-donna-viso,4.0,8
15,3,3.0,epilazione/ceretta-uomo-corpo,5.0,8
16,4,3.0,epilazione/ceretta-uomo-viso,6.0,8
17,5,3.0,epilazione/laser-donna-corpo,7.0,8
18,6,3.0,epilazione/laser-donna-viso,8.0,8
19,7,3.0,epilazione/laser-uomo-corpo,9.0,8
20,8,3.0,epilazione/laser-uomo-viso,10.0,8
21,1,4.0,massaggio/decontratturante,11.0,3
22,2,4.0,massaggio/drenaggio-leggerezza,12.0,3
23,3,4.0,massaggio/pacchetti,13.0,3
24,4,4.0,massaggio/relax-rituali,14.0,3
25,5,4.0,massaggio/viso-lifting-manuale,15.0,3
