zone_code,label_it
abdomen,Addome
arms,Braccia
back_full,Schiena totale
back_lower,Schiena inferiore
back_upper,Schiena superiore
bikini_basic,Inguine base
bikini_total,Inguine totale
body,Corpo (generico)
breast,Seno
buttocks,Glutei
cheekbones,Zigomi
cheeks,Guance
chest_full,Torace totale
chin,Mento
decollete,Décolleté
face,Viso
feet,Piedi
forearms,Avanbraccia
full_face,Viso totale
full_legs,Gambe totali
half_leg,1/2 gamba
hands,Mani
linea_alba,Linea alba
low_forehead,Fronte bassa
neck_back,Collo posteriore
neck_decollete,Collo + Décolleté
neck_front,Collo anteriore
shoulders,Spalle
sideburns,Basette
sternum,Sterno
thighs,Cosce
underarms,Ascelle
upper_lip,Labbra (labbro superiore)
